"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","code.x","winner.x","bid.x","seller_region_id.x","code.y","winner.y","bid.y","seller_region_id.y","volume.x","volume.y","winner","loser","winner.reg","loser.reg","win_volume","lose_volume","buyer_name","winner_name","winner_id","loser_name","loser_id"
406942,458837,551,250050,257700,"2013-02-07",1,"23717551",TRUE,257700,1,"30757072",FALSE,258000,1,257700,0,"23717551","30757072",1,1,257700,258000,"Управління освіти Оболонської районної в місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
402869,455549,551,646420,620040,"2013-02-01",1,"23717551",TRUE,620040,1,"30757072",FALSE,651000,1,620040,0,"23717551","30757072",1,1,620040,651000,"Управління освіти Оболонської районної в місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
402867,455559,551,199055.25,212754,"2013-02-01",1,"23717551",TRUE,212754,1,"30757072",FALSE,213028.25,1,212754,0,"23717551","30757072",1,1,212754,213028.25,"Управління освіти Оболонської районної в місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
406876,458847,551,226800,227250,"2013-02-07",1,"23717551",TRUE,227250,1,"30757072",FALSE,228600,1,227250,0,"23717551","30757072",1,1,227250,228600,"Управління освіти Оболонської районної в місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
402928,455511,551,950100,938000,"2013-02-01",1,"23717551",TRUE,938000,1,"30757072",FALSE,939450,1,938000,0,"23717551","30757072",1,1,938000,939450,"Управління освіти Оболонської районної в місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
397711,468465,551,384800,392200,"2013-02-22",1,"23717551",TRUE,392200,1,"30757072",FALSE,395900,1,392200,0,"23717551","30757072",1,1,392200,395900,"Управління освіти Оболонської районної в місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
402917,455523,551,275450,270900,"2013-02-01",1,"23717551",TRUE,270900,1,"30757072",FALSE,271600,1,270900,0,"23717551","30757072",1,1,270900,271600,"Управління освіти Оболонської районної в місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
451707,511992,551,683900,663500,"2013-07-23",1,"23717551",TRUE,663500,1,"30757072",FALSE,680800,1,663500,0,"23717551","30757072",1,1,663500,680800,"Управління освіти Оболонської районної в місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
453142,513231,551,2151752,2122320,"2013-07-24",1,"23717551",TRUE,2122320,1,"30757072",FALSE,2146924,1,2122320,0,"23717551","30757072",1,1,2122320,2146924,"Управління освіти Оболонської районної в місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
469394,556591,551,434720,374310,"2014-01-31",1,"23717551",TRUE,374310,1,"30757072",FALSE,405330,1,374310,0,"23717551","30757072",1,1,374310,405330,"Управління освіти Оболонської районної в місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
469390,556595,551,541450,534300,"2014-01-31",1,"23717551",TRUE,534300,1,"30757072",FALSE,538200,1,534300,0,"23717551","30757072",1,1,534300,538200,"Управління освіти Оболонської районної в місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
477388,558052,701,790000,722200,"2014-02-04",1,"23717551",FALSE,750000,1,"30757072",TRUE,722200,1,0,722200,"30757072","23717551",1,1,722200,750000,"Комунальний заклад Київської облради ""Київська обласна клінічна лікарня""","ПП Торгпродсервіс",28006,"ПП ""Ніка-1""",16496
477350,558071,701,375000,374000,"2014-02-04",1,"23717551",FALSE,375000,1,"30757072",TRUE,374000,1,0,374000,"30757072","23717551",1,1,374000,375000,"Комунальний заклад Київської облради ""Київська обласна клінічна лікарня""","ПП Торгпродсервіс",28006,"ПП ""Ніка-1""",16496
477344,558075,701,330000,313800,"2014-02-04",1,"23717551",FALSE,324600,1,"30757072",TRUE,313800,1,0,313800,"30757072","23717551",1,1,313800,324600,"Комунальний заклад Київської облради ""Київська обласна клінічна лікарня""","ПП Торгпродсервіс",28006,"ПП ""Ніка-1""",16496
477353,558070,701,273000,266700,"2014-02-04",1,"23717551",FALSE,273000,1,"30757072",TRUE,266700,1,0,266700,"30757072","23717551",1,1,266700,273000,"Комунальний заклад Київської облради ""Київська обласна клінічна лікарня""","ПП Торгпродсервіс",28006,"ПП ""Ніка-1""",16496
477367,558058,701,660000,658800,"2014-02-04",1,"23717551",FALSE,660000,1,"30757072",TRUE,658800,1,0,658800,"30757072","23717551",1,1,658800,660000,"Комунальний заклад Київської облради ""Київська обласна клінічна лікарня""","ПП Торгпродсервіс",28006,"ПП ""Ніка-1""",16496
477384,558054,701,201300,197100,"2014-02-04",1,"23717551",FALSE,201230,1,"30757072",TRUE,197100,1,0,197100,"30757072","23717551",1,1,197100,201230,"Комунальний заклад Київської облради ""Київська обласна клінічна лікарня""","ПП Торгпродсервіс",28006,"ПП ""Ніка-1""",16496
469382,556603,551,1694000,1491000,"2014-01-31",1,"23717551",TRUE,1491000,1,"30757072",FALSE,1520400,1,1491000,0,"23717551","30757072",1,1,1491000,1520400,"Управління освіти Оболонської районної в місті Києві державної адміністрації","ПП ""Ніка-1""",16496,"ПП Торгпродсервіс",28006
